,epoch,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot,average,valid_acc,train_acc
0,0.0,0.08,0.0,0.096,0.004,0.672,0.095,0.043,0.0,0.791,0.0,0.17809998989105225,0.0,0.20411667227745056
1,1.0,0.001,0.213,0.173,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.12619999051094055,0.0,0.1377333402633667
2,2.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09989999979734421,0.0,0.10046666860580444
3,3.0,0.381,0.855,0.417,0.765,0.159,0.0,0.673,0.0,0.39,0.016,0.36559998989105225,0.0,0.3846000134944916
4,4.0,0.701,0.064,0.956,0.14,0.097,0.0,0.113,0.842,0.018,0.162,0.3093000054359436,0.0,0.29899999499320984
5,5.0,0.757,0.97,0.815,0.93,0.599,0.964,0.268,0.966,0.961,0.855,0.8084999918937683,0.0,0.7992333173751831
6,6.0,0.284,0.734,0.319,0.408,0.089,0.575,0.694,0.867,0.831,0.115,0.491599977016449,0.0,0.46035000681877136
7,7.0,0.459,0.065,0.658,0.533,0.775,0.012,0.742,0.048,0.928,0.629,0.48489999771118164,0.0,0.5698833465576172
8,8.0,0.792,0.742,0.395,0.836,0.989,0.566,0.118,1.0,0.869,0.41,0.6717000007629395,0.0,0.705216646194458
9,9.0,0.937,0.939,0.893,0.912,0.365,0.953,0.473,0.992,0.969,0.89,0.8323000073432922,0.0,0.7670166492462158
10,10.0,0.8,0.94,0.785,0.93,0.876,0.972,0.485,0.981,0.834,0.913,0.8515999913215637,0.0,0.8473666906356812
11,11.0,0.181,0.959,0.097,0.87,0.858,0.991,0.728,0.752,0.937,0.975,0.7347999811172485,0.0,0.760033369064331
12,12.0,0.205,0.341,0.688,0.017,0.606,0.042,0.911,0.1,0.614,0.904,0.44279998540878296,0.0,0.49713334441185
13,13.0,0.727,0.968,0.663,0.911,0.866,0.994,0.359,0.698,0.691,0.941,0.7817999720573425,0.0,0.7840666770935059
14,14.0,0.546,0.934,0.627,0.96,0.936,0.969,0.325,0.768,0.938,0.986,0.7989000082015991,0.0,0.8332833647727966
15,15.0,0.477,0.963,0.535,0.886,0.912,0.995,0.808,0.878,0.966,0.963,0.8382999897003174,0.0,0.8264333605766296
16,16.0,0.666,0.97,0.789,0.866,0.856,0.997,0.791,0.731,0.968,0.772,0.8405999541282654,0.0,0.8441166877746582
17,17.0,0.745,0.964,0.904,0.871,0.815,0.996,0.624,0.819,0.927,0.862,0.8526999950408936,0.0,0.8570500016212463
18,18.0,0.688,0.452,0.922,0.838,0.523,0.003,0.718,0.143,0.929,0.624,0.5839999914169312,0.0,0.5836499929428101
19,19.0,0.844,0.974,0.637,0.871,0.898,0.998,0.674,0.636,0.928,0.943,0.8402999639511108,0.0,0.8457666635513306
20,20.0,0.665,0.975,0.698,0.779,0.822,0.993,0.832,0.838,0.953,0.893,0.8447999954223633,0.0,0.8547166585922241
21,21.0,0.734,0.091,0.863,0.318,0.825,0.002,0.577,0.014,0.793,0.173,0.4389999806880951,0.0,0.4846000075340271
22,22.0,0.81,0.9,0.818,0.85,0.881,0.255,0.789,0.585,0.959,0.889,0.7735999822616577,0.0,0.7936833500862122
23,23.0,0.787,0.638,0.942,0.718,0.603,0.194,0.755,0.954,0.818,0.687,0.7095999717712402,0.0,0.7033666968345642
24,24.0,0.715,0.516,0.888,0.695,0.716,0.012,0.806,1.0,0.791,0.321,0.6459999680519104,0.0,0.6842833161354065
25,25.0,0.694,0.955,0.701,0.829,0.817,0.995,0.8,0.683,0.96,0.564,0.7997999787330627,0.0,0.8475333452224731
26,26.0,0.898,0.976,0.882,0.847,0.924,0.655,0.742,0.997,0.962,0.9,0.8782999515533447,0.0,0.885533332824707
27,27.0,0.911,0.933,0.865,0.84,0.756,0.432,0.804,0.998,0.961,0.745,0.8244999647140503,0.0,0.8336499929428101
28,28.0,0.721,0.981,0.812,0.878,0.926,0.993,0.841,0.906,0.972,0.972,0.9001999497413635,0.0,0.9072999954223633
29,29.0,0.794,0.978,0.765,0.839,0.863,0.999,0.879,0.816,0.978,0.879,0.8789999485015869,0.0,0.8874333500862122
30,30.0,0.748,0.826,0.897,0.833,0.832,0.917,0.834,0.896,0.986,0.962,0.8730999827384949,0.0,0.8628000020980835
31,31.0,0.88,0.986,0.901,0.816,0.928,0.98,0.76,0.995,0.984,0.935,0.9164999723434448,0.0,0.9169166684150696
32,32.0,0.892,0.974,0.794,0.888,0.96,0.761,0.712,0.997,0.96,0.87,0.8807999491691589,0.0,0.8840500116348267
33,33.0,0.806,0.981,0.769,0.871,0.916,0.995,0.851,0.946,0.989,0.869,0.8992999792098999,0.0,0.9117166996002197
34,34.0,0.847,0.981,0.75,0.901,0.947,0.99,0.778,0.966,0.974,0.942,0.9075999855995178,0.0,0.916783332824707
35,35.0,0.923,0.98,0.726,0.841,0.963,0.993,0.671,0.943,0.966,0.907,0.8912999629974365,0.0,0.8967833518981934
36,36.0,0.86,0.977,0.829,0.917,0.92,0.984,0.837,0.992,0.988,0.926,0.9229999780654907,0.0,0.930649995803833
37,37.0,0.842,0.985,0.812,0.908,0.947,0.986,0.843,0.988,0.979,0.95,0.9239999651908875,0.0,0.9291833639144897
38,38.0,0.814,0.972,0.862,0.905,0.932,0.963,0.828,0.985,0.981,0.95,0.9192000031471252,0.0,0.9270333647727966
39,39.0,0.843,0.983,0.794,0.902,0.96,0.996,0.816,0.972,0.984,0.934,0.91839998960495,0.0,0.9248833656311035
40,40.0,0.901,0.987,0.807,0.909,0.973,0.992,0.762,0.977,0.984,0.933,0.92249995470047,0.0,0.9324333667755127
41,41.0,0.821,0.974,0.794,0.917,0.826,0.998,0.888,0.932,0.976,0.94,0.9065999984741211,0.0,0.9131500124931335
42,42.0,0.904,0.98,0.886,0.879,0.94,0.996,0.803,0.962,0.989,0.947,0.9285999536514282,0.0,0.9387833476066589
43,43.0,0.887,0.987,0.883,0.924,0.946,0.977,0.832,0.991,0.991,0.939,0.935699999332428,0.0,0.9429666996002197
44,44.0,0.907,0.977,0.892,0.929,0.87,0.991,0.851,0.989,0.991,0.939,0.9335999488830566,0.0,0.9420666694641113
45,45.0,0.914,0.975,0.868,0.925,0.937,0.991,0.821,0.985,0.99,0.949,0.9354999661445618,0.0,0.9448000192642212
46,46.0,0.888,0.985,0.878,0.871,0.952,0.986,0.814,0.975,0.988,0.969,0.9305999875068665,0.0,0.9394333362579346
47,47.0,0.83,0.979,0.882,0.917,0.94,0.991,0.876,0.977,0.989,0.954,0.9334999918937683,0.0,0.9434166550636292
48,48.0,0.881,0.988,0.889,0.897,0.953,0.991,0.841,0.983,0.989,0.947,0.9358999729156494,0.0,0.9517000317573547
49,49.0,0.864,0.982,0.918,0.927,0.948,0.992,0.849,0.976,0.993,0.954,0.9402999877929688,0.0,0.9569500088691711
